Division,Placement,Skipper,Team,Total Score
A,1,Matthew Graham '13,University of Michigan,4
A,2,Ryan Grosch '14,University of Minnesota,11
A,3,Phillip Morley '13,University of Wisconsin,15
A,4,Jacob Bruce '16,Northwestern University,24
A,5,Eric Sauter '13,University of Iowa,27
A,6,Christopher Avallone '13,Marquette University,28
A,7,Phil Holt '14,Purdue University,30
A,8,Zi Chong Kao '14,University of Chicago,33
A,9,Kelly Kramer '13,University of Wisconsin,35
A,10,William Kyle '14,Bowling Green State University,39
A,11,Sandi Fredericks '15 *,Lake Forest College,39
A,12,Jack Greve '15,Western Michigan University,39
A,13,Ryan Davidson '15,University of Michigan,40
A,14,Alex Mayo '15,University of Michigan,56
