Division,Placement,Skipper,Team,Total Score
A,1,Morgan Kiss '15,Yale University,45
A,2,Haley Powell '13,Roger Williams University,47
A,3,Natalie Salk '13,Tufts University,53
A,4,Lizzy Hamilton '15,Bowdoin College,62
A,5,Elizabeth Glivinski '14,Boston University,69
A,6,Kelsey Wheeler '14,Dartmouth College,78
A,7,Sky Adams '14,Brown University,101
A,8,Kaitlyn Norton '15,University of Rhode Island,103
A,9,Caitlin Watson '14,Harvard University,105
A,10,Elise Gehling '17,Northeastern University,115
A,11,Devon Rohde '15,U. S. Coast Guard Academy,117
A,12,Genevieve Marquardt '15,Salve Regina University,125
A,13,Alexandra Romagnoli '15,Connecticut College,139
A,14,Hanna Vincent '14,Massachusetts Institute of Technology,140
A,15,Sarah Fuller '16,University of Connecticut,157
A,16,Priscilla Stoll '15,Massachusetts Maritime Academy,176
