Division,Placement,Skipper,Team,Total Score
B,1,Ryan Seago '14,University of Michigan,7
B,2,Sarah Ellis '14,University of Minnesota,10
B,3,John Kinzel '14,University of Wisconsin,11
B,4,Leslie Poole '16,University of Wisconsin,17
B,5,Jacob Bruce '16,Northwestern University,19
B,6,Alison Kent '16,University of Minnesota,25
B,7,Elizabeth Dust '15,Michigan State University,25
B,8,David Aspery '16,Ohio State University,31
B,9,Autumn Morden '15,University of Wisconsin Milwaukee,40
B,10,Jake Riedy '17,Miami University,47
B,11,Katy Carlyle '15,University of Chicago,49
B,12,Maria Krutikova '16,Purdue University,55
B,13,Taylor Valentor '16,University of Illinois - Chicago,56
B,14,Connor Schmitt '14,Northwestern University,60
