Division,Placement,Skipper,Team,Total Score
B,1,David Aspery '16,Ohio State University,11
B,2,Emily Shane '17,Denison University,21
B,3,Adam Gilbertson '13,Ohio State University,28
B,4,Jacob Henley '17,Michigan Technological University,44
B,5,Jake Riedy '17,Miami University,49
B,6,Connor Shope '15,University of Michigan,62
B,7,Samuel Werley '17,Miami University,62
B,8,Lia Windt '16,Denison University,65
B,9,Hannah Evans '17 *,Ohio University,73
B,10,Paul Guentert '15,University of Toledo,74
B,11,Sam Logan '14,Bowling Green State University,74
B,12,Evelyn Ritter '15,Hope College,87
B,13,Michael Perkins '16,Bowling Green State University,92
B,14,Patrick Wolff '15,Ohio University,102
