Division,Placement,Skipper,Team,Total Score
B,1,Tyler Webb '15,California State University Long Beach,10
B,2,Jennifer Davis '14,Westmont College,12
B,3,Ian Markowitz '17,University of California at Berkeley,15
B,4,David Cornella '17,Cal Poly University S.L.O.,17
B,5,Richard Bell '15,Long Beach City College,29
B,6,Garret Tesman '14,Santa Barbara City College,30
B,7,Ted Chavkin '14,University of California at Berkeley,37
B,8,Kyle Clarke '15,California State University Channel Islands,38
B,9,Shannon Frick '16,University of California at San Diego,47
B,10,Christine Hamlin '16,University of California at Santa Barbara,47
B,11,Kat Kendall '16,Westmont College,54
B,12,Louis Muehleck '15,University of California at Santa Barbara,58
B,13,David Luu '17,University of California at San Diego,61
