Division,Placement,Skipper,Team,Total Score
A,1,Olivia Zwierski-Moran '16,University of Illinois - Chicago,18
A,2,Mary Prothero '15,Washington University,18
A,3,Joe Lund '14,University of Minnesota,26
A,4,David Mirkhaef '15,Purdue University,34
A,5,Charles Rysenga '14,Michigan Technological University,40
A,6,Matthew Zampa '15,Northwestern University,49
A,7,Alex Mayo '15,University of Michigan,59
A,8,Emily Slabe '15,University of Illinois,60
A,9,Katy Carlyle '15,University of Chicago,67
A,10,Rebecca Abellera '15,University of Iowa,69
