Division,Placement,Skipper,Team,Total Score
B,1,Lauren Cefali '15,U. S. Coast Guard Academy,8
B,2,Hunter Johnstone '16,Dartmouth College,8
B,3,Ben Weigel '14,Tufts University,10
B,4,Henry O'Brien '15,University of Vermont,11
B,5,Conor Fowler '14,Boston University,15
B,6,Philip Koch '16,Bowdoin College,17
B,7,Alexander Giordano '15,Connecticut College,21
B,8,Jesse Thomas '17,Northeastern University,22
B,9,Ann Sager '13 *,University of New Hampshire,28
B,10,Robert Queisser '16,Massachusetts Maritime Academy,31
B,11,Alexander Strothe '14,Middlebury College,32
B,12,Michael Haidar '17,Amherst College,34
B,13,Stephanie Burrell '16,Providence College,36
