Division,Placement,Skipper,Team,Total Score
A,1,Mike Flanigan '15,University of Notre Dame,40
A,2,Drake Lundeen '14,University of Minnesota,46
A,3,Benjamin Otten '14,University of Wisconsin Milwaukee,53
A,4,Laura Wefer '16,University of Wisconsin,54
A,5,Ian Norman '18,University of Wisconsin,76
A,6,Emily Oltrogge '15,University of Minnesota,85
A,7,Joel Florek '15,Michigan Technological University,93
A,8,Charles Diamond '15,University of Illinois,93
A,9,Ryan Anderson '15,Northwestern University,105
A,10,Meghan Bouman '15,Marquette University,133
A,11,Brian Moy '14,University of Illinois - Chicago,138
A,12,David Gates '16,Northern Michigan University,139
A,13,Sarah Gross '15,University of Iowa,143
A,14,Davis Dolson '14,Marquette University,145
A,15,Jack Greve '15,Western Michigan University,145
A,16,Michael Swanson '16,Tulane University,151
A,17,Evelyn Ritter '15,Hope College,183
