Division,Placement,Skipper,Team,Total Score
B,1,Kendal Richardson '17,Roger Williams University,21
B,2,Colin Meade '16,Tufts University,34
B,3,Shannon Killian '16,Salve Regina University,56
B,4,David Mende '17,Harvard University,56
B,5,Nicole O'Brien '17,Massachusetts Institute of Technology,68
B,6,Joseph Benoit '16,Boston University,70
B,7,Sally Skipper '17 *,BUSA,70
B,8,Kristina Schneider '16,Bentley University,75
B,9,Stephen Fletcher '17,Northeastern University,80
B,10,Henry Lewis '16,Yale University,101
B,11,John Zupkud '16,Colleges of the Fenway,119
B,12,Christopher Mark '14,Wellesley College,124
B,13,Sebastian Kern '17,Middlebury College,150
B,14,Kelsey Dean '14,Brandeis University,153
B,15,Christopher Baker '16,University of Connecticut,163
B,16,Kerry Lydon '17,Wellesley College,171
B,17,Emily Chase '16,University of New Hampshire,173
