Division,Placement,Skipper,Team,Total Score
A,1,Charles Proctor '14,Tufts University,13
A,2,Harry Koeppel '17,Boston College,17
A,3,Alexander Stewart '17,Massachusetts Institute of Technology,19
A,4,Peter Sterflinger '17,Johnson and Wales University,26
A,5,Scott Goodrich '16,Northeastern University,30
A,6,Patrick Penwell '16,University of Rhode Island,32
A,7,Michael Saldi '15,Boston University,54
A,8,William Dykes '15,University of New Hampshire,55
A,9,Bennett Capozzi '17,Harvard University,55
A,10,Chris Aitken '15,Providence College,60
A,11,Sarah Fuller '16,University of Connecticut,61
A,12,Simon Li '14,McGill University,71
A,13,Brent Bomkamp '15,Williams College,74
A,14,Lewis Fowler-Gerace '15,Wesleyan University,80
A,15,Robert Bueti '15,Holy Cross College,85
A,16,Sarah Hyman '15,Brandeis University,90
A,17,Geoff Ryder '14 *,Bates College,96
