Division,Placement,Skipper,Team,Total Score
B,1,Nicholas Arabia '16,Boston University,10
B,2,Ansel Duff '15,Harvard University,17
B,3,William Bloxham '17,Harvard University,22
B,4,Kate Shaner '16,Tufts University,30
B,5,Peter Christensen '18,Northeastern University,31
B,6,Andrew Stratton '15,Massachusetts Institute of Technology,33
B,7,Simon Li '14,McGill University,44
B,8,Samuel Campbell '17,Boston University,44
B,9,John Zupkud '16,Colleges of the Fenway,54
B,10,Erin Meltzer '14,Johnson and Wales University,55
B,11,Kimberly Jackman '16,University of Connecticut,62
B,12,Mark Sinks '17,Middlebury College,69
B,13,Regan Yeung '16,Bentley University,75
