Division,Placement,Skipper,Team,Total Score
B,1,Ian Ikeda '17,Jacksonville University,15
B,2,Jessica Oswalt '16,Tulane University,28
B,3,Jacob Hafemeister '16,Texas A&M University at Galveston,36
B,4,Ellen Nielsen '15,University of Texas,39
B,5,Tracy Hawk '16,Texas A&M University,55
B,6,Walter Pospick '17,Texas A&M University,57
B,7,Alexander Judd '16,University of Texas,77
B,8,Paige Meineke '14,Texas A&M University at Galveston,80
B,9,Alex Assyia '16,University of Kansas,86
B,10,Daryl Nieto '15,University of Central Oklahoma,94
B,11,Douglas Modling '16,University of South Alabama,95
