Division,Placement,Skipper,Team,Total Score
A,1,Domenic Bove '15,Boston College,26
A,2,Bradley Milliken '14,U. S. Coast Guard Academy,27
A,3,Maarten Eenkema Van Dijk '14,Northeastern University,32
A,4,Evan Read '16,Dartmouth College,35
A,5,Brendan Cook '16,Boston University,39
A,6,Ellis Tonissi '15,Connecticut College,41
A,7,Robert Lippincott '14,Salve Regina University,53
A,8,Charles Proctor '14,Tufts University,55
A,9,Adam Ceely '15,University of Vermont,55
A,10,Nicholas Dragone '14,Middlebury College,58
A,11,Christian Houston-Floyd '16,Bowdoin College,62
A,12,Maxime Fecteau '14,McGill University,86
A,13,John Cappetta '16,Bates College,89
A,14,William Dykes '15,University of New Hampshire,96
A,15,George Luber '17,Massachusetts Maritime Academy,97
A,16,Stephanie Burrell '16,Providence College,111
