Division,Placement,Skipper,Team,Total Score
A,1,Jack Swikart '15,University of Pennsylvania,27
A,2,Connor Godfrey '16,Fordham University,41
A,3,Paul Stevens '14,Monmouth University,45
A,4,Nicholas Price '16,Virginia Tech,55
A,5,Charles Nunn '16,Ocean County College,58
A,6,Samantha Gebb '14,Princeton University,64
A,7,Joan Boyle '14,Drexel University,74
A,8,Andrew Murphy '14,Syracuse University,80
A,9,John Shanahan '16,Penn State University,99
A,10,Kathryn Luly '14,University of Rochester,105
A,11,David Alldian '17,Villanova University,110
A,12,Andrew Green '14,University of Buffalo,114
A,13,Cody Stansky '16,Webb Institute,119
A,14,Scott Guinn '15,William and Mary,123
A,15,Laura Maranto '14,Columbia University,132
A,16,MacKenzie McGuckin '16,Stevens Institute of Technology,136
A,17,Grayson Walker '17,University of Virginia,156
A,18,Zeke Schumacher '15,St. John's College,173
