Division,Placement,Skipper,Team,Total Score
B,1,Urska Kosir '15,Yale University,65
B,2,Kelsey Wheeler '14,Dartmouth College,85
B,3,Nikole Barnes '17,U. S. Coast Guard Academy,87
B,4,Chloe Lepert '15,Massachusetts Institute of Technology,109
B,5,Johanna Kincaid '15,Brown University,121
B,6,Morgan Russom '14,Harvard University,124
B,7,Rachel Perry '15,Roger Williams University,134
B,8,Amina Brown '17,University of Vermont,143
B,9,Courtney Koos '16,Bowdoin College,145
B,10,Katja Sertl '16,Boston College,146
B,11,Merritt Moran '14,Georgetown University,146
B,12,MaryClaire Kiernan '17,Tufts University,155
B,13,Rebecca Quirke '17,Connecticut College,160
B,14,Hannah Polster '17,Boston University,161
B,15,Colleen Hartman '13,University of South Florida,200
B,16,Victoria McGruer '17,Northeastern University,201
