Division,Placement,Skipper,Team,Total Score
B,1,Ben Weigel '14,Tufts University,32
B,2,Charles Lalumiere '17,Dartmouth College,33
B,3,Tom Peabody '14,Bowdoin College,37
B,4,Ryan Schmitz '15,Boston College,56
B,5,Christina Lewis '16,University of Rhode Island,58
B,6,Ellis Tonissi '15,Connecticut College,65
B,7,Collin Clark '14,Cornell University,78
B,8,Jesse Thomas '17,Northeastern University,81
B,9,John Cappetta '16,Bates College,85
B,10,Ann Sager '13 *,University of New Hampshire,111
B,11,Jennifer Lee '17,University of Connecticut,111
B,12,Cynthia Connard '15,Middlebury College,112
