Division,Placement,Skipper,Team,Total Score
B,1,Maxwell Simmons '17,Boston College,24
B,2,Sam Gates '17,Tufts University,26
B,3,Matthew Mollerus '17,Harvard University,27
B,4,Scott Barbano (Tufts) '17 *,Connecticut College,32
B,5,Robert Floyd '17,Dartmouth College,36
B,6,Forrest Short '17,University of Vermont,47
B,7,Camille Matile '17,Northeastern University,58
B,8,Chester Jacobs '17,Bowdoin College,68
B,9,Kendal Richardson '17,Roger Williams University,72
B,10,Charlie Bess '17,University of South Florida,76
B,11,Solomon Tarlin '17,Boston University,85
B,12,Patrick Isherwood '17,University of Rhode Island,87
B,13,Joshua Morrison '17,U. S. Coast Guard Academy,91
