Division,Placement,Skipper,Team,Total Score
A,1,Emily Oltrogge '15,University of Minnesota,7
A,2,Ryan Grosch '14,University of Minnesota,9
A,3,Nathan Jamieson '17,University of Wisconsin,13
A,4,Ben Otten '11,University of Wisconsin Milwaukee,16
A,5,Joe Lund '14,University of Minnesota,20
A,6,Indigo Leslie '17,University of Wisconsin,27
A,7,Peter Roehmholdt '14,University of Notre Dame,29
A,8,Brian Moy '14,University of Illinois - Chicago,29
A,9,Katherine Schneeberger '17,University of Notre Dame,30
A,10,Jose Fossas '15,Marquette University,41
A,11,Bret Lindquist '15,University of Wisconsin Milwaukee,43
