Division,Placement,Skipper,Team,Total Score
B,1,Alison Kent '16,University of Minnesota,5
B,2,Soren Walljasper '17,University of Wisconsin,7
B,3,Autumn Morden '15,University of Wisconsin Milwaukee,18
B,4,David Meyerson '15,University of Wisconsin,21
B,5,Anne Schoenwetter '14,University of Notre Dame,24
B,6,Ethan Fryer-Ressmeyer '14,University of Minnesota,25
B,7,Sarah Eide '14,University of Notre Dame,27
B,8,Meghan Bouman '15,Marquette University,28
B,9,Taylor Valentor '16,University of Illinois - Chicago,31
B,10,Brittan Keck '16,University of Wisconsin Milwaukee,34
B,11,No show,University of Minnesota,68
