Division,Placement,Skipper,Team,Total Score
A,1,Morgan Kiss '15,Yale University,38
A,2,Elizabeth Glivinski '14,Boston University,51
A,3,Annie Schmidt '14,Roger Williams University,60
A,4,Erin Mullins '16,Bowdoin College,64
A,5,Allyson Donahue '17,Boston College,64
A,6,Rosalind Lesh '16,Massachusetts Institute of Technology,70
A,7,Elise Gehling '17,Northeastern University,72
A,8,Caitlin Watson '14,Harvard University,75
A,9,Christina Lewis '16,University of Rhode Island,82
A,10,Megan Yeigh '16,University of Vermont,89
A,11,Margaret Bacon '14,Tufts University,91
A,12,Kayla Ellis '16,U. S. Coast Guard Academy,93
A,13,Megan Grapengeter-Rudnick '17,Brown University,93
A,14,Mary Clawson '15,Salve Regina University,121
A,15,Sarah Pollick '14,Middlebury College,142
A,16,Sarah Warack '16,University of Connecticut,156
