Division,Placement,Skipper,Team,Total Score
A,1,Casey Gowrie '16,Tufts University,21
A,2,Bryan Lee '04 *,BUSA,22
A,3,Rob Dresser '14 *,Colleges of the Fenway,22
A,4,Tyler Durant '14,Bentley University,23
A,5,Timothy Harding '15,Brown University,24
A,6,Colin Henderson '15,Northeastern University,25
A,7,Emmett Weeks '14,Brown University,28
A,8,Pierre DuPont '16,Tufts University,31
A,9,Conor Mook '16,Williams College,42
A,10,Zachary Karakouzian '16,University of New Hampshire,45
A,11,Kristina Schneider '16,Bentley University,54
A,12,Alison Deyett '17,University of New Hampshire,60
A,13,Ames Lyman '14,Harvard University,65
A,14,Field Maren '16 *,Colleges of the Fenway,69
A,15,Aaron Taylor '17 *,Williams College,70
