Division,Placement,Skipper,Team,Total Score
B,1,Will Holz '17,Fordham University,11
B,2,AJ Reiter '17,Georgetown University,14
B,3,Nikole Barnes '17,U. S. Coast Guard Academy,17
B,4,Walker Banks '14,Eckerd College,25
B,5,Michael Madigan '17,U. S. Naval Academy,27
B,6,Sarah Mace '14,Stanford University,27
B,7,Annie Schmidt '14,Roger Williams University,32
B,8,Carolyn Smith '17,St. Mary's College of Maryland,36
B,9,Jack Jorgensen '16,College of Charleston,39
B,10,Allyson Donahue '17,Boston College,41
B,11,David Cornella '17,Cal Poly University S.L.O.,47
B,12,Sunny Scarbrough '17,California State University Long Beach,47
B,13,Mike McCarthy '14,University of California at Santa Cruz,51
B,14,James Moody '16,Tufts University,52
B,15,Matthew Miranda '17,Salve Regina University,59
B,16,Erica Parker '14,University of California at Los Angeles,68
B,17,Dylan Ale '15,Santa Clara University,68
B,18,Scott Doyle '14,California Maritime Academy,70
B,19,John Coakley '16,University of Southern California,71
B,20,Lucas Murray '15,University of California at Davis,79
B,21,Soren Walljasper '17,University of Wisconsin,83
B,22,Jessica Oswalt '16,Tulane University,84
B,23,Nicholas Weis '15,University of California at Irvine,84
B,24,Grant Rickon '16,University of California at Santa Barbara,86
B,25,Kyle McManus '15,Arizona State University,93
B,26,Nicolas Delfino '16,University of California at San Diego,94
