Division,Placement,Skipper,Team,Total Score
A,1,Christopher Stocke '15,University of South Florida,25
A,2,Enrique Arathoon '16,College of Charleston,32
A,3,Charles Rees '16,College of Charleston,38
A,4,Reed Baldridge '16,College of Charleston,40
A,5,William Sands '15,College of Charleston,43
A,6,Paul Perry '15,University of South Florida,59
A,7,Joel Hurley '16,Embry-Riddle University,79
A,8,Ryan Clarke '16,Embry-Riddle University,80
A,9,Kevin Schwarm '16 *,University of Miami,87
A,10,Richard Romer '15,University of South Florida,98
A,11,Trevor Johnson '16,Embry-Riddle University,116
