Division,Placement,Skipper,Team,Total Score
A,1,Declan Whitmyer '17,College of Charleston,50
A,2,Dominique Wright '15,University of South Florida,71
A,3,Matthew Hecht '16,University of Miami,73
A,4,Jason D'Agostino '17,Eckerd College,77
A,5,Nicole Hause '14,College of Charleston,95
A,6,Edwin Strong '15,Clemson University,103
A,7,John Reddaway '15,Georgia Institute of Technology,118
A,8,Daniel Lawless '17,Jacksonville University,154
A,9,Ian Nora '14,Rollins College,161
A,10,Cole Barney '14,University of North Carolina at Wilmington,170
A,11,David Rogers '15,North Carolina State University,213
A,12,Alexander Katsis '16,Duke University,215
A,13,Sage Stahmer '16,University of North Carolina,219
A,14,Lillian Brown '17,Vanderbilt University,225
A,15,Matthew Weber '15,University of Georgia,254
A,16,Becca Hofmeister '14,University of Tennessee,288
A,17,Brent DeAngelis '16,Auburn University,289
A,18,Lindsay Macmillan '17,University of Florida,304
