Division,Placement,Skipper,Team,Total Score
A,1,Graham Landy '15,Yale University,57
A,2,Matthew Wefer '14,Dartmouth College,72
A,3,William Haeger '14,Tufts University,80
A,4,Lucas Adams '15,Brown University,87
A,5,Michael Grove '14,U. S. Naval Academy,90
A,6,Kevin Martland '14,Connecticut College,94
A,7,William Macdonald '15,Roger Williams University,96
A,8,Hans Henken '15,Stanford University,102
A,9,Nick Johnstone '15,College of Charleston,109
A,10,Caleb Armstrong '16,University of Rhode Island,109
A,11,Domenic Bove '15,Boston College,115
A,12,Louis Padnos '14,Hobart and William Smith Colleges,124
A,13,Alexander Curtiss '16,St. Mary's College of Maryland,137
A,14,Esteban Forrer '16,Old Dominion University,142
A,15,Duncan Howes '15,Cornell University,144
A,16,Michael Drumm '15,Harvard University,146
A,17,Michael Booker '15,University of Vermont,159
A,18,Christopher Ford '16,Massachusetts Institute of Technology,182
