Division,Placement,Skipper,Team,Total Score
A,1,Marissa Lihan '14,U. S. Naval Academy,67
A,2,Maeve White '17,Stanford University,72
A,3,Marlena Fauer '14,Yale University,77
A,4,Sky Adams '14,Brown University,82
A,5,Rosalind Lesh '16,Massachusetts Institute of Technology,83
A,6,Liz Dubovik '15,Connecticut College,86
A,7,Devon Rohde '15,U. S. Coast Guard Academy,88
A,8,Arielle DeLisser '14,Hobart and William Smith Colleges,89
A,9,Melany Johnson '15,Eckerd College,89
A,10,Kelsey Wheeler '14,Dartmouth College,94
A,11,Rachel Perry '15,Roger Williams University,95
A,12,Erin Mullins '16,Bowdoin College,97
A,13,Chanel Miller '14,University of Rhode Island,109
A,14,Eleanor Conroy '15,Washington College,112
A,15,Carolyn Naughton '14,Boston College,114
A,16,MaryClaire Kiernan '17,Tufts University,116
A,17,Caitlin Watson '14,Harvard University,117
A,18,Carolyn Smith '17,St. Mary's College of Maryland,123
