Division,Placement,Skipper,Team,Total Score
A,1,Erika Reineke '16,Boston College,54
A,2,Marlena Fauer '14,Yale University,55
A,3,Melany Johnson '15,Eckerd College,76
A,4,Clerc Cooper '15,College of Charleston,88
A,5,Kelsey Wheeler '14,Dartmouth College,91
A,6,Yuki Yoshiyasu '16,Stanford University,94
A,7,Nikole Barnes '17,U. S. Coast Guard Academy,108
A,8,Sky Adams '14,Brown University,108
A,9,Erin Mullins '16,Bowdoin College,111
A,10,Andrea Luna '15,Old Dominion University,119
A,11,Mary Kate Mezzetti '16,Georgetown University,120
A,12,Elizabeth Glivinski '14,Boston University,124
A,13,Chanel Miller '14,University of Rhode Island,128
A,14,Caitlin Watson '14,Harvard University,136
A,15,Marissa Golison '16,St. Mary's College of Maryland,141
A,16,Elise Gehling '17,Northeastern University,145
A,17,Megan Yeigh '16,University of Vermont,163
A,18,Kate Levinson '15,Tufts University,190
