Division,Placement,Skipper,Team,Total Score
A,1,Alex Ramos '15,University of Michigan,26
A,2,Charles Bocklet '17,University of Wisconsin,48
A,3,Laura Wefer '16,University of Wisconsin,51
A,4,Emily Oltrogge '15,University of Minnesota,52
A,5,James Harvey '17,Washington University,60
A,6,Jacob Bruce '16,Northwestern University,80
A,7,Bill Weiland '14,Michigan State University,81
A,8,Geoffrey Owens '18,University of Chicago,85
A,9,Isak Peterson '15,University of Wisconsin Milwaukee,93
A,10,Brenden Jacobs '16,University of Illinois - Chicago,98
A,11,Wyatt Richard '17,Great Lakes Maritime Academy,112
