Division,Placement,Skipper,Team,Total Score
A,1,Mary Hall '15,U. S. Naval Academy,93
A,2,Sarah Williams '16,Dartmouth College,113
A,3,Melany Johnson '15,Eckerd College,118
A,4,Erin Mullins '16,Bowdoin College,123
A,5,Rachel Bryer '17,University of Rhode Island,127
A,6,Allyson Donahue '17,Boston College,132
A,7,Nancy Hagood '14,Georgetown University,151
A,8,Casey Klingler '18,Yale University,168
A,9,Clerc Cooper '15,College of Charleston,170
A,10,Adelaide Ferguson '17,Fordham University,186
A,11,Megan Grapengeter-Rudnick '17,Brown University,192
A,12,Liana Folger '15,Hobart and William Smith Colleges,196
A,13,Jennifer Borshoff '15,Cornell University,198
A,14,Dominique Wright '15,University of South Florida,200
A,15,Marissa Golison '16,St. Mary's College of Maryland,203
A,16,Andrea Luna '15,Old Dominion University,213
A,17,MaryClaire Kiernan '17,Tufts University,227
A,18,Hannah McNomee '16,George Washington University,269
