Division,Placement,Skipper,Team,Total Score
A,1,Michael Croteau '15,Bowdoin College,24
A,2,Christopher Ford '16,Massachusetts Institute of Technology,57
A,3,Duncan Williford '18,Dartmouth College,62
A,4,Nicholas Arabia '16,Boston University,70
A,5,Viktor Wettergren '14,Tufts University,71
A,6,Scott Goodrich '16,Northeastern University,80
A,7,Domenic Bove '15,Boston College,85
A,8,John Cappetta '16,Bates College,90
A,9,Jonathan Pope '17,Roger Williams University,93
A,10,Peter Girard '18,University of Rhode Island,98
A,11,Michael Rottier '15,University of Connecticut,109
A,12,Jeffrey Adam '18,Massachusetts Maritime Academy,123
A,13,William Dykes '15,University of New Hampshire,134
A,14,No show,Brandeis University,180
