Division,Placement,Skipper,Team,Total Score
A,1,Carolyn Smith '17,St. Mary's College of Maryland,10
A,2,Jimmy Madigan '18,U. S. Naval Academy,17
A,3,Joe Farned '17,University of Pennsylvania,18
A,4,Eleanor Conroy '15,Washington College,23
A,5,Julian Fraize '18,Stevens Institute of Technology,33
A,6,Domenic Re '15,Villanova University,36
A,7,Brogan Savage '15,Monmouth University,38
A,8,John Shanahan '16,Penn State University,53
A,9,Caroline Udell '17,University of Delaware,55
A,10,Andrew Grasso '15,Princeton University,60
A,11,Jeffrey Proko '18,Drexel University,66
A,12,Liam Boyle '16,Ocean County College,68
A,13,Samuel Haksteen '17,University of Maryland/Baltimore County,72
A,14,Taylor Niles '17,Rutgers University,81
