Division,Placement,Skipper,Team,Total Score
B,1,Sean Golden '16,Georgetown University,33
B,2,Kai Friesecke '18,George Washington University,48
B,3,Maximilian Kuester '18,Hampton University,65
B,4,Edmund Cooper '17,St. Mary's College of Maryland,67
B,5,Jacob Spracher '15,Old Dominion University,80
B,6,Samuel Patterson '16,University of Virginia,103
B,7,James Morgan '18,U. S. Naval Academy,109
B,8,Xander Van Beurden '18,Christopher Newport University,117
B,9,Adam Siegel '15,William and Mary,118
B,10,McKay Hanna '17,Virginia Tech,127
B,11,Andrew Bobbitt '18,University of Maryland,153
B,12,Chris Lane '17,Loyola University Maryland,162
B,13,John Haley '18,SUNY Stony Brook,194
B,14,Samuel Mortin '16,Catholic University of America,211
B,15,Megan Mitchell '16,St. John's College,235
