Division,Placement,Skipper,Team,Total Score
A,1,Avery Fanning '16,U. S. Coast Guard Academy,39
A,2,Joseph Kiss '17,Yale University,53
A,3,Malcolm Lamphere '18,Yale University,72
A,4,Martim Anderson '18,Roger Williams University,81
A,5,Rolfe Glover '16,Tufts University,85
A,6,Erik Weis '18,Dartmouth College,86
A,7,Marek Zaleski '16,Harvard University,89
A,8,Matthew Lyons '17,Bowdoin College,94
A,9,James Barry '16,Brown University,106
A,10,Juan Perdomo '17,Harvard University,108
A,11,Jack McGuire '17,Bowdoin College,109
A,12,James Beatty '17,Tufts University,111
A,13,Mackenzie Bryan '18,Roger Williams University,155
A,14,Reid Secondo '16,Brown University,156
A,15,Drake Lyon '18,Boston College,161
A,16,Macklin Fluehr '17,Brown University,188
A,17,Jackson Hamilton '19,Northeastern University,192
A,18,Alexander Paggi '18,U. S. Coast Guard Academy,204
A,19,Donal Ryan '19,Northeastern University,211
A,20,Max Rohr '18,University of Rhode Island,220
A,21,Thomas Gallagher '16,Dartmouth College,276
A,22,Mateus Guimaraes '15,Fairfield University,276
