Division,Placement,Skipper,Team,Total Score
B,1,Edmund Cooper '17,St. Mary's College of Maryland,18
B,2,Adelaide Ferguson '17,Fordham University,21
B,3,Xander Van Beurden '18,Christopher Newport University,28
B,4,Noah Barrengos Barrengos '18,Hobart and William Smith Colleges,41
B,5,Emily Bicks '16,Colgate University,53
B,6,Cody Stansky '16,Webb Institute,63
B,7,Vincent Storino '18,U. S. Merchant Marine Academy,70
B,8,Connor Juckniess '18,Cornell University,72
B,9,Michael Danko '17,U. S. Military Academy,82
B,10,Spencer Nora '17,U. S. Naval Academy,85
B,11,Joseph Crouse '16,University of Maryland,92
B,12,Peter Fiala '16,University of Rochester,94
B,13,Vidar Minkovsky '18,SUNY Stony Brook,105
B,14,Michael Fagundo '18,Columbia University,106
B,15,James Keegan '16,SUNY Maritime College,108
B,16,Aaron Babier '15,Queen's University,110
B,17,Sarah Gross '15,Princeton University,117
B,18,Kevin McCandless '15,Syracuse University,148
B,19,Spencer Lee '16,Rensselaer Polytechnic Institute,149
B,20,Tucker Nelson '18,Rochester Institute of Technology,181
