Division,Placement,Skipper,Team,Total Score
C,1,Greg Martinez '18,Georgetown University,43
C,2,Marek Zaleski '16,Harvard University,54
C,3,Reed Baldridge '16,College of Charleston,63
C,4,Martim Anderson '18,Roger Williams University,63
C,5,James Barry '16,Brown University,74
C,6,Austin Neuman '16,U. S. Merchant Marine Academy,78
C,7,Stephen Long '17,University of California at Santa Barbara,81
C,8,Joseph David '16,Old Dominion University,86
C,9,Philip Youngberg '15,U. S. Naval Academy,87
C,10,Erik Weis '18,Dartmouth College,94
C,11,Keen Butcher '18,University of Pennsylvania,102
C,12,Markus Edegran '16,St. Mary's College of Maryland,103
C,13,Connor Swikart '18,Hobart and William Smith Colleges,135
C,14,Max Rohr '18,University of Rhode Island,150
C,15,Jackson Hamilton '19,Northeastern University,155
C,16,Anders Ekholm '17,Fordham University,161
C,17,Peter Maes '18,SUNY Maritime College,174
C,18,Andrew Green '14,University of Buffalo,189
C,19,William Dykes '15,University of New Hampshire,200
C,20,Jordan Cornell '17,University of Virginia,210
