Division,Placement,Skipper,Team,Total Score
B,1,Eliot Caple '18,College of Charleston,6
B,2,Kailey Savacool '16,University of North Carolina at Wilmington,13
B,3,Alexander Katsis '16,Duke University,19
B,4,James Elder '15,Georgia Institute of Technology,28
B,5,Aaron Sherman '16,North Carolina State University,31
B,6,Jeffery Kaisner '17,Clemson University,33
B,7,Scott Bidwell '16,The Citadel,34
B,8,Michael Stolorena '15,University of Georgia,38
B,9,Luke Schwarzentraub '17,University of Tennessee,41
B,10,Paige Gainey '15,Clemson University,43
B,11,Andrew Cannard '17,Davidson College,53
B,12,Jonathan Ashworth '17,Auburn University,54
