Division,Placement,Skipper,Team,Total Score
A,1,Dylan Finneran '15,U. S. Coast Guard Academy,18
A,2,John Wehner '18,Northeastern University,32
A,3,Rebecca Quirke '17,Connecticut College,32
A,4,Shannon Killian '16,Salve Regina University,40
A,5,Macklin Fluehr '17,Brown University,45
A,6,Ian Maccini '18,Providence College,67
A,7,Jeffrey Adam '18,Massachusetts Maritime Academy,69
A,8,Kelsey Delosh '17,University of Massachusetts at Dartmouth,75
A,9,Connor Wallace '16,Fairfield University,90
A,10,Brian Reilly '16,Sacred Heart University,95
A,11,Rivkah Berkman '16,Mitchell College,99
