Division,Placement,Skipper,Team,Total Score
C,1,Chuck Eaton '17,University of Hawaii,16
C,2,Maeve White '17,Stanford University,21
C,3,Sunny Scarbrough '17,California State University Long Beach,43
C,4,Scott Buckstaff '17,Stanford University,44
C,5,Kristopher Swanson '18,University of California at Santa Barbara,47
C,6,Kyle Larsen '18,California Maritime Academy,56
C,7,Kendall Sanson '15,University of Southern California,58
C,8,Brock Poesiat '16,University of Victoria,88
C,9,Calum Finlayson '17,University of California at San Diego,97
C,10,Olivia Godfrey '17,University of California at Santa Barbara,102
C,11,Joshua Leung '18,University of California at Davis,123
C,12,Mitchell Prentice '17 *,Western Washington University,127
C,13,Eric Witte '17,University of California at Berkeley,128
C,14,Kyle Clarke '15,California State University Channel Islands,133
C,15,Dylan Ale '15,Santa Clara University,135
C,16,Joseph Lausten '18,Cal Poly University S.L.O.,136
C,17,James Heller '15,University of California at Irvine,141
C,18,John Beutter '17,University of California at Los Angeles,155
C,19,Kylee Walterman '17,California State University Monterey Bay,158
C,20,Chad Hardgrove '15,Arizona State University,160
C,21,Maille Kennedy '17,University of California at Santa Cruz,163
C,22,Janice Wondolleck '15,University of California at Berkeley,187
C,23,Kalvyn Ngo '17,Westmont College,192
C,24,Joseph Albertine '15,University of Oregon,219
