Division,Placement,Skipper,Team,Total Score
A,1,Charles Lalumiere '17,Dartmouth College,31
A,2,Henry Vogel '15,Roger Williams University,32
A,3,Morgan Kiss '15,Yale University,33
A,4,Alex Ramos '15,University of Michigan,48
A,5,Charles Welsh '18,Salve Regina University,49
A,6,James Barry '16,Brown University,55
A,7,Chalmers Pierce '16,SUNY Maritime College,61
A,8,Myles Everett '18,Northeastern University,69
A,9,Tyler Halfhill '15,U. S. Coast Guard Academy,73
A,10,Ethan Neubelt '18,U. S. Merchant Marine Academy,99
