Division,Placement,Skipper,Team,Total Score
A,1,Jack Cusick '17,College of Charleston,9
A,2,David Rogers '15,North Carolina State University,21
A,3,Cassie Todd '16,University of North Carolina at Wilmington,22
A,4,John Reddaway '15,Georgia Institute of Technology,23
A,5,Alexander Katsis '16,Duke University,33
A,6,Margaux Bacro-Duverger '17,University of South Carolina,34
A,7,Brent DeAngelis '16,Auburn University,45
A,8,Jared Chrysostom '15,The Citadel,49
A,9,Landon Winstead III '17,East Carolina University,54
A,10,No show,University of Georgia,61
