Division,Placement,Skipper,Team,Total Score
A,1,Rosalind Lesh '16,Massachusetts Institute of Technology,70
A,2,Courtney Koos '16,Bowdoin College,80
A,3,Abby Preston '15,Roger Williams University,82
A,4,Hannah Polster '17,Boston University,89
A,5,Megan Grapengeter-Rudnick '17,Brown University,90
A,6,Liz Dubovik '15,Connecticut College,91
A,7,Megan Yeigh '16,University of Vermont,93
A,8,Casey Klingler '18,Yale University,95
A,9,Kayla Ellis '16,U. S. Coast Guard Academy,96
A,10,Elise Gehling '17,Northeastern University,96
A,11,Taylor Ladd '18,Harvard University,124
A,12,Kate Shaner '16,Tufts University,132
A,13,Mackenzie Needham '15,University of Rhode Island,144
A,14,Priscilla Stoll '15,Massachusetts Maritime Academy,182
