Division,Placement,Skipper,Team,Total Score
B,1,Ryan Murphy '15,Texas A&M University at Galveston,24
B,2,Erin Hawk '16,Texas A&M University,25
B,3,George Walters '18,University of Texas,45
B,4,Simon Varga '17,University of Texas,56
B,5,Walter Pospick '17,Texas A&M University,60
B,6,Brittney Crawford '15,Texas A&M University at Galveston,80
B,7,Anish Zute '18,University of Texas,94
B,8,Austin Bergman '12,Texas A&M University at Galveston,94
B,9,Elena Busch '18,Rice University,113
B,10,Nicholas Boswell '17,Texas A&M University at Galveston,120
