Division,Placement,Skipper,Team,Total Score
A,1,Scott Barbano '17,Tufts University,31
A,2,Jack McGuire '17,Bowdoin College,39
A,3,Connor Astwood '16,Boston University,42
A,4,Sam Alexander '18,Brown University,59
A,5,Hunter Johnstone '16,Dartmouth College,60
A,6,Nick Sertl '18,Harvard University,63
A,7,Will La Dow '18,Stanford University,71
A,8,Joseph Paggi '16,Massachusetts Institute of Technology,81
A,9,Dana Rohde '18,U. S. Coast Guard Academy,84
A,10,Henry Dumke '17,Boston College,85
A,11,Scott Goodrich '16,Northeastern University,100
A,12,William Crary '17,University of Vermont,103
A,13,Roberto Stevens '19,Fordham University,104
A,14,Casey Klingler '18,Yale University,118
A,15,John Silvestri '16,Salve Regina University,122
A,16,Cooper Nefsky '17,Connecticut College,123
A,17,Peter Girard '18,University of Rhode Island,127
A,18,Alexander Smith '17,Washington College,157
A,19,Mark Thompson '18,North Carolina State University,159
A,20,Jennifer Lee '17,University of Connecticut,163
