Division,Placement,Skipper,Team,Total Score
B,1,John Rolander '17,Tufts University,43
B,2,Nathaniel Johansson '18,Dartmouth College,59
B,3,Peter Lynn '19,Boston College,60
B,4,Franco Bilik '18,Brown University,61
B,5,Nicolas Hernandez '19,Yale University,67
B,6,Brendan Cook '16,Boston University,68
B,7,Cutter O'Connell '18,Massachusetts Institute of Technology,69
B,8,William Hawk '18,Bowdoin College,70
B,9,Russell Clarida '19,Stanford University,70
B,10,Matt Cappetta '19,Fordham University,85
B,11,Nick DiGiovanni '19,Harvard University,87
B,12,Walter Florio '18,Connecticut College,91
B,13,Kayla Ellis '16,U. S. Coast Guard Academy,95
B,14,John Wehner '18,Northeastern University,122
B,15,Amina Brown '17,University of Vermont,123
B,16,Patrick Isherwood '17,University of Rhode Island,123
B,17,Shannon Killian '16,Salve Regina University,125
B,18,Sarah Fuller '16,University of Connecticut,136
B,19,Kara Wheeler '18,North Carolina State University,150
B,20,Paul Hart '19,Washington College,165
