Division,Placement,Skipper,Team,Total Score
B,1,Drake Lyon '18,Boston College,44
B,2,Ravi Parent '18,Boston University,50
B,3,Dakota Northrup '19,University of Rhode Island,52
B,4,Hugh MacGillivray '18,Connecticut College,55
B,5,Cameron Holley '19,Tufts University,74
B,6,Jackson Hamilton '19,Northeastern University,75
B,7,Jeffrey Adam '18,Massachusetts Maritime Academy,78
B,8,Gabriel Elstrodt '19,Brown University,95
B,9,Scott Booth '16,Roger Williams University,102
B,10,Lindsay Doyle '18,University of Vermont,103
B,11,Shannon Killian '16,Salve Regina University,104
B,12,Connor Oursler '19,U. S. Coast Guard Academy,115
B,13,James Amaral '19,University of New Hampshire,124
B,14,Alexander Baskin '19,Middlebury College,145
B,15,Louis Frumer '18,Bowdoin College,154
B,16,George Williams '17,University of Connecticut,170
B,17,Leslie Beedell '16,McGill University,187
B,18,Ian Maccini '18,Providence College,190
B,19,Rebecca Rutkiewicz '19,Sacred Heart University,195
B,20,Kevin Winnie '16,Wesleyan University,202
