Division,Placement,Skipper,Team,Total Score
A,1,Andrew Mollerus '16,Harvard University,54
A,2,Connor Astwood '16,Boston University,75
A,3,Jack McGuire '17,Bowdoin College,77
A,4,Avery Fanning '16,U. S. Coast Guard Academy,79
A,5,Ian Barrows '17,Yale University,83
A,6,Pearson Potts '16,Brown University,86
A,7,Raul Rios '16,Boston College,88
A,8,Alexander Stewart '17,Massachusetts Institute of Technology,97
A,9,Stewart Draheim '16,Roger Williams University,102
A,10,Hunter Johnstone '16,Dartmouth College,105
A,11,Scott Goodrich '16,Northeastern University,118
A,12,Matthew Coughlin '16,University of Rhode Island,131
A,13,Scott Barbano '17,Tufts University,134
A,14,Adam Ceely '15,University of Vermont,134
A,15,Bryce Kopp '16,Connecticut College,148
A,16,John Silvestri '16,Salve Regina University,180
A,17,Peter Sterflinger '17,Johnson and Wales University,188
A,18,Jennifer Lee '17,University of Connecticut,206
