Division,Placement,Skipper,Team,Total Score
A,1,Florian Eenkema Van Dijk '19,Tufts University,3
A,2,Bobby McLaughlin '17,Tufts University,4
A,3,Pierre DuPont '16,Tufts University,5
A,4,George Williams '17,University of Connecticut,10
A,5,Aaron Klein '18,Tufts University,12
A,6,Alexandra Swanson '16,Brown University,12
A,7,Jackson Hamilton '19,Northeastern University,14
A,8,Kurran Singh '19,Northeastern University,18
A,9,none,Wentworth Institute of Technology,19
A,10,none,University of Massachusetts at Dartmouth,21
A,11,Sarah De Silva '19,Northeastern University,23
A,12,Zachary Vickerson '16,Boston University,24
A,13,Samuel Campbell '17,Boston University,26
A,14,none,Bentley University,29
A,15,Julia Becker '19,Emmanuel College,30
A,16,none,Wesleyan University,34
