Division,Placement,Skipper,Team,Total Score
B,1,Evan Rodgers '16,Hope College,9
B,2,Addison Amstutz '17,Grand Valley State University,29
B,3,Chris Boerema '19,Hope College,31
B,4,John Stack '17,Hope College,34
B,5,Matthew Harrison '19,Grand Valley State University,35
B,6,Cortney Kingsley '18,Northern Michigan University,42
B,7,Taylor Hover '16,Michigan Technological University,44
B,8,Samuel Legenza '16,Great Lakes Maritime Academy,52
B,9,Jonah Simon '17,Indiana University,58
B,10,Lincoln Oliver-O'Neil '16,Northwestern University,74
B,11,Drake Hullinger '17,Western Michigan University,84
