Division,Placement,Skipper,Team,Total Score
A,1,Cameron Holley '19,Tufts University,13
A,2,Zachary Vickerson '16,Boston University,17
A,3,Andrew Puopolo '19,Harvard University,18
A,4,Alexandra Swanson '16,Brown University,19
A,5,Greta Farrell '18,Massachusetts Institute of Technology,27
A,6,Jackie Degeorgis '19,Providence College,37
A,7,Matthew Scheuer '16,University of New England,47
A,8,Maddy Crowley '16,McGill University,52
A,9,Frank Egan '18,Worcester Polytechnic Institute,55
A,10,Jorge Castro '16,Williams College,57
A,11,Kiley Burke '17,Emmanuel College,68
