Division,Placement,Skipper,Team,Total Score
B,1,Christopher Williford '19,Dartmouth College,39
B,2,Nicholas Baird '19,Yale University,48
B,3,Casey Gowrie '16,Tufts University,49
B,4,Maxwell Simmons '17,Boston College,54
B,5,Matthew Kaplan '19,Bowdoin College,63
B,6,Hugh MacGillivray '18,Connecticut College,67
B,7,Martim Anderson '18,Roger Williams University,92
B,8,Charles Welsh '18,Boston University,93
B,9,John Wehner '18,Northeastern University,93
B,10,Shannon Killian '16,Salve Regina University,105
B,11,Liam Ballantyne '19,U. S. Coast Guard Academy,107
B,12,Kyle Brego '17,Massachusetts Maritime Academy,111
B,13,Lindsay Doyle '18,University of Vermont,112
B,14,Sarah Hermus '18,University of Rhode Island,122
