Division,Placement,Skipper,Team,Total Score
A,1,Chris Vilicich '16,California Maritime Academy,21
A,2,Jackson Niketas '16,U. S. Naval Academy,22
A,3,Matthew Coughlin '16,University of Rhode Island,28
A,4,Tobias Fitzgerald '16,SUNY Maritime College,34
A,5,James Lamb '16,Massachusetts Maritime Academy,41
A,6,Clifton Kartner '15,Queen's University,42
A,7,Marc DeLoach '18,College of Charleston,42
A,8,Graham Roeber '19,Maine Maritime Academy,48
A,9,Lane Tobin '18,University of Michigan,56
A,10,Andrew Goetz '18,U. S. Coast Guard Academy,59
