Division,Placement,Skipper,Team,Total Score
A,1,Haddon Hughes '19,Georgetown University,30
A,2,Lindsey Baab '18,Brown University,32
A,3,Isabella Loosbrock '19,Boston College,45
A,4,Sarah Alexander '19,George Washington University,64
A,5,Sarah Streater '18,University of South Florida,69
A,6,Riley Legault '19,George Washington University,76
A,7,Lola Bushnell '18,Georgetown University,80
A,8,Dana Rohde '18,U. S. Coast Guard Academy,82
A,9,Haley Fox '18,Stanford University,96
A,10,Rebekah Schiff '16,College of Charleston,119
A,11,Quinn Howes '16,Cornell University,123
A,12,Charlotte List '18,Connecticut College,125
A,13,Taylor Ladd '18,Harvard University,126
A,14,Olivia Gugliemini '19,Stanford University,130
A,15,Megan McMahon '17,University of Wisconsin,163
A,16,Caitlin Schadt '18,University of Hawaii,167
A,17,Jessica Oswalt '16,Tulane University,168
A,18,Leslie Poole '16,University of Wisconsin,193
