Division,Placement,Skipper,Team,Total Score
B,1,Hannah McNomee '16,George Washington University,41
B,2,Rose Edwards '18,Georgetown University,45
B,3,Greer Wattson '17,St. Mary's College of Maryland,62
B,4,Amanda Stapp '18,Fordham University,65
B,5,Hannah Cantolino '18,Christopher Newport University,65
B,6,Mary Robertson '17,U. S. Naval Academy,74
B,7,Lindsey Kloc '19,Hobart and William Smith Colleges,82
B,8,Gillian Boehringer '18,Cornell University,92
B,9,Olivia Windemuller '19,Old Dominion University,109
B,10,Anna Louise Devanny '17,University of Virginia,112
B,11,Denby McDonnell '17,Queen's University,127
B,12,Elizabeth Siegal '16,Columbia University,146
B,13,Jessica Kurlander '18,SUNY Stony Brook,164
