Division,Placement,Skipper,Team,Total Score
B,1,Preston Duclos '19,Roger Williams University,44
B,2,Daniel Petrovic '19,Roger Williams University,45
B,3,Franco Bilik '18,Brown University,46
B,4,Jack Bitney '19,Tufts University,49
B,5,Benjamin Craig '17,University of Vermont,50
B,6,Kurran Singh '19,Northeastern University,64
B,7,Taylor Nathanson '18,Tufts University,64
B,8,Dakota Northrup '19,University of Rhode Island,72
B,9,Renee Torrie '18,McGill University,84
B,10,Matthew Orgill '16,U. S. Coast Guard Academy,94
B,11,Christopher Dawson '18,Massachusetts Maritime Academy,109
B,12,Thomas Pluchino '18,Johnson and Wales University,117
B,13,Matthew Lau-Hansen '17,Connecticut College,123
B,14,Chloe Kelleher '18,Providence College,139
B,15,David Tampellini '17,Sacred Heart University,147
B,16,Kelsey Martins '16,University of Massachusetts at Dartmouth,150
B,17,Katherine Fox '16,Fairfield University,153
B,18,Kimberly Jackman '16,University of Connecticut,161
