Division,Placement,Skipper,Team,Total Score
B,1,Patrick Snow '17,U. S. Naval Academy,77
B,2,Nicolas Hernandez '19,Yale University,101
B,3,AJ Reiter '17,Georgetown University,106
B,4,Edmund Cooper '17,St. Mary's College of Maryland,119
B,5,Augie Dale '18,Old Dominion University,130
B,6,Robert Floyd '17,Dartmouth College,140
B,7,Eddie Cox '16,Hobart and William Smith Colleges,155
B,8,Connor Godfrey '16,Fordham University,162
B,9,Michael Gemperline '17,Roger Williams University,164
B,10,James Moody '16,Tufts University,170
B,11,No show,BUSA,198
B,12,Drew Gallagher '18,University of Pennsylvania,211
B,13,Stephan VerHulst '19,Jacksonville University,220
B,14,Mason Wolters '18,University of Michigan,222
B,15,Kevin Coakley '18,Harvard University,235
B,16,Victor Rodriguez '19 *,University of Virginia,243
B,17,Victoria McGruer '17,Northeastern University,255
B,18,Matthew McDermaid '17,Washington College,267
B,19,Vincent Storino '18,U. S. Merchant Marine Academy,301
B,20,Dante Iozzo '16,University of Buffalo,310
