Division,Placement,Skipper,Team,Total Score
B,1,Evan Gregory '16,Northeastern University,33
B,2,Sam Rush '19,University of Rhode Island,36
B,3,Emma Davis '17,Brown University,47
B,4,Sam Simonds '19,Connecticut College,50
B,5,Samantha Brown '19,University of Vermont,53
B,6,Thomas Pluchino '18,Johnson and Wales University,56
B,7,Caden Buckley '19,Salve Regina University,69
B,8,Nathan Lafrance-Berger '19,McGill University,73
B,9,Sean O'Keefe '17,Wentworth Institute of Technology,80
B,10,Kelsey Martins '16,University of Massachusetts at Dartmouth,93
B,11,John Gumbleton '19,U. S. Coast Guard Academy,98
B,12,Patrick Buehler '18,Yale University,116
B,13,Abe Kipnis '18,Wesleyan University,122
B,14,Jackie Degeorgis '19,Providence College,127
B,15,Erin Godfrey '19,Fairfield University,148
B,16,Martin Hooker '18,University of Connecticut,148
