Division,Placement,Skipper,Team,Total Score
B,1,Travis Tucker '19,North Carolina State University,22
B,2,Gerald Williams '19,College of Charleston,24
B,3,Kyle Drain '19,University of South Carolina,24
B,4,Elizabeth O'Connor '17,Duke University,25
B,5,Taylor Wood '18,University of North Carolina at Wilmington,40
B,6,James Elder '15,Georgia Institute of Technology,42
B,7,Cameron Rylance '19,Clemson University,58
B,8,Conrad Andree '19 *,University of North Carolina at Wilmington,60
B,9,Andrew Cannard '17,Davidson College,68
B,10,Shawn Majzlik '17,Auburn University,77
