Division,Placement,Skipper,Team,Total Score
B,1,Carter Cameron '19,College of Charleston,39
B,2,Karl Rasmus Sayre '19,Eckerd College,49
B,3,Andrew Baird '18 *,University of South Florida,51
B,4,Stephan VerHulst '19,Jacksonville University,55
B,5,Samuel Armington '18,University of Florida,64
B,6,Benjamin Ringrose '19,University of Miami,101
B,7,John Sipp '18,Duke University,123
B,8,Kailey Savacool '16,University of North Carolina at Wilmington,128
B,9,Joshua Kim '17,Georgia Institute of Technology,129
B,10,Margaux Bacro-Duverger '17,University of South Carolina,139
B,11,Rafael Melendez '17,Florida State University,148
B,12,Cornell Lee '16,New College of Florida,163
B,13,Andrew Edwards '17,North Carolina State University,169
B,14,Chandler Hill '19,University of Tennessee,173
B,15,Abbie Probst '19,Clemson University,180
B,16,Scott Adams '17,The Citadel,211
B,17,Timothy DeWitt '17,University of Georgia,229
