Division,Placement,Skipper,Team,Total Score
A,1,Max Thompson '19,University of Miami,7
A,2,Sophia Schultz '17,New College of Florida,10
A,3,Michael Sanandajian '18,University of South Florida,12
A,4,Benjamin Chafee '16,Eckerd College,14
A,5,Aaron Burnett '19,University of Florida,18
A,6,Joseph Geller '16,Embry-Riddle University,24
A,7,Francisco Perez '17,New College of Florida,30
A,8,Rafael Melendez '17,Florida State University,32
A,9,John Larson '18,Rollins College,36
A,10,Paul Talty '19,University of Florida,37
