Division,Placement,Skipper,Team,Total Score
A,1,Stephan VerHulst '19,Jacksonville University,28
A,2,Karl Rasmus Sayre '19,Eckerd College,36
A,3,Charlie Bess '17,University of South Florida,41
A,4,Jack Famiglietti '18,University of Florida,43
A,5,Sophia Schultz '17,New College of Florida,44
A,6,Anna Palmer '17,Jacksonville University,54
A,7,Darcy Jensen '16,University of South Florida,56
A,8,Kyle Magno '18,University of Miami,57
A,9,Geoffrey St. John '19,Eckerd College,66
A,10,Hana Zwick '18,Eckerd College,70
A,11,Robert McLean '19,Jacksonville University,84
A,12,Rafael Melendez '17,Florida State University,91
A,13,Joseph Geller '16,Embry-Riddle University,96
A,14,Geoffrey Calderone '18,University of Miami,101
A,15,Cora Coleman '18,New College of Florida,108
A,16,Emma Hunter '18 *,University of South Florida,113
