Division,Placement,Skipper,Team,Total Score
A,1,Neil Stapleton '18,University of California at Santa Barbara,16
A,2,Will Dana '19,University of California at Santa Barbara,19
A,3,Tristram Craig '18,University of California at Santa Barbara,20
A,4,Cobi Allen '16,University of California at Santa Barbara,32
A,5,Eric Witte '17,University of California at Berkeley,51
A,6,Ted Alley '16,University of Victoria,57
A,7,Vincent Todosiev '19,University of California at Berkeley,67
A,8,Samuel Rohrbach '17,University of California at San Diego,70
A,9,Ari Zeen '17,California State University Long Beach,70
A,10,Joseph Lausten '18,Cal Poly University S.L.O.,70
A,11,Annarose Leff '18,University of California at Santa Cruz,80
A,12,Brenyn Bierbaum '19,Cal Poly University S.L.O.,98
A,13,Alana McSween '17,University of California at Davis,98
A,14,Levi Matsushima '17,California State University Monterey Bay,100
A,15,Jeff Barone '17,Santa Clara University,120
A,16,Dylan Rinker '16,Cal Poly University S.L.O.,123
