Division,Placement,Skipper,Team,Total Score
B,1,Isabella Loosbrock '19,Boston College,46
B,2,Megan Yeigh '16,University of Vermont,60
B,3,Katharina (KB) Knapp '18,Yale University,66
B,4,Mary Paz '17,Bowdoin College,82
B,5,Kelsey Shakin '19,Roger Williams University,88
B,6,Emily Petno '16,Dartmouth College,91
B,7,Kate Shaner '16,Tufts University,92
B,8,Sarah Hermus '18,University of Rhode Island,97
B,9,Lydia Grasberger '18,Boston University,102
B,10,Kayla Ellis '16,U. S. Coast Guard Academy,111
B,11,Taylor Gavula '19,Harvard University,112
B,12,Victoria McGruer '17,Northeastern University,114
B,13,Alexandra Maurillo '18,Connecticut College,121
B,14,Annie Hughes '19,Massachusetts Institute of Technology,123
B,15,Sophie Hibben '19,Brown University,135
