Division,Placement,Skipper,Team,Total Score
B,1,Nathan Ross '18,Washington University,9
B,2,Charlie Kutschenreuter '19,University of Wisconsin,33
B,3,Alexandra Anderson '19,University of Michigan,40
B,4,Katherine Zimmerman '18,University of Wisconsin,41
B,5,Evan Rodgers '16,Hope College,58
B,6,William Lewis '17,Ohio State University,59
B,7,Max Vinocur '18,Michigan State University,64
B,8,Eric Villadsen '17,University of Minnesota,71
B,9,Charles Koules '17,Lake Forest College,71
B,10,Mason Chrabaszcz '18,Marquette University,72
B,11,Zachary Aasen '18,University of Wisconsin Milwaukee,92
B,12,Susan Riley '17,Northwestern University,102
B,13,Paul DeTrempe '18,University of Illinois,120
B,14,Connor Lynch '16,University of Chicago,126
B,15,No show,University of Kansas,145
