Division,Placement,Skipper,Team,Total Score
A,1,Rachel Bryer '17,University of Rhode Island,96
A,2,Sarah Williams '16,Dartmouth College,104
A,3,Hannah Polster '17,Boston University,106
A,4,Erin Mullins '16,Bowdoin College,126
A,5,Megan Yeigh '16,University of Vermont,131
A,6,Casey Klingler '18,Yale University,132
A,7,Mary Kate Mezzetti '16,Georgetown University,142
A,8,Allyson Donahue '17,Boston College,144
A,9,Sarah Streater '18,University of South Florida,155
A,10,India Johnstone '18,George Washington University,162
A,11,Adelaide Ferguson '17,Fordham University,180
A,12,Rebekah Schiff '16,College of Charleston,192
A,13,Bailey Carter '19,Hobart and William Smith Colleges,209
A,14,Hannah Hughes '17,U. S. Naval Academy,212
A,15,Kate Shaner '16,Tufts University,216
A,16,Carolyn Smith '17,St. Mary's College of Maryland,228
A,17,Anna Huebschmann '18,Eckerd College,255
A,18,Amanda Attardi '17,Christopher Newport University,291
